t, Pond Storage (m3),t, Pond Outflow (m3/day),t, Pond Inflow (m3/day),t, Rain (mm/day)
40178.80000,0,40178.80000,0,40178.80000,0,40178.80000,0
40178.81000,0,40178.81000,0,40178.81000,0,40178.81000,0
40178.82000,0,40178.82000,0,40178.82000,0,40178.82000,0
40178.83000,0,40178.83000,0,40178.83000,0,40178.83000,0
40178.84000,0,40178.84000,0,40178.84000,0,40178.84000,0
40178.85000,0,40178.85000,0,40178.85000,0,40178.85000,0
40178.86000,0,40178.86000,0,40178.86000,0,40178.86000,0
40178.87000,0,40178.87000,0,40178.87000,0,40178.87000,0
40178.88000,0,40178.88000,0,40178.88000,0,40178.88000,0
40178.89000,0,40178.89000,0,40178.89000,0,40178.89000,0
40178.90000,0,40178.90000,0,40178.90000,0,40178.90000,0
40178.91000,0,40178.91000,0,40178.91000,0,40178.91000,0
40178.92000,0,40178.92000,0,40178.92000,0,40178.92000,0
40178.93000,0,40178.93000,0,40178.93000,0,40178.93000,0
40178.94000,0,40178.94000,0,40178.94000,0,40178.94000,0
40178.95000,0,40178.95000,0,40178.95000,0,40178.95000,0
40178.96000,0,40178.96000,0,40178.96000,0,40178.96000,0
40178.97000,0,40178.97000,0,40178.97000,0,40178.97000,0
40178.98000,0,40178.98000,0,40178.98000,0,40178.98000,0
40178.99000,0,40178.99000,0,40178.99000,0,40178.99000,0
40179.00000,0,40179.00000,0,40179.00000,0,40179.00000,0
40179.01000,0,40179.01000,0,40179.01000,0,40179.01000,0
40179.02000,0,40179.02000,0,40179.02000,0,40179.02000,0
40179.03000,0,40179.03000,0,40179.03000,0,40179.03000,0
40179.04000,0,40179.04000,0,40179.04000,0,40179.04000,0
40179.05000,0,40179.05000,0,40179.05000,0,40179.05000,0
40179.06000,0,40179.06000,0,40179.06000,0,40179.06000,0
40179.07000,0,40179.07000,0,40179.07000,0,40179.07000,0
40179.08000,0,40179.08000,0,40179.08000,0,40179.08000,0
40179.09000,0,40179.09000,0,40179.09000,0,40179.09000,0
40179.10000,0,40179.10000,0,40179.10000,0,40179.10000,0
40179.11000,0,40179.11000,0,40179.11000,0,40179.11000,0
40179.12000,0,40179.12000,0,40179.12000,0,40179.12000,0
40179.13000,0,40179.13000,0,40179.13000,0,40179.13000,0
40179.14000,0,40179.14000,0,40179.14000,0,40179.14000,0
40179.15000,0,40179.15000,0,40179.15000,0,40179.15000,0
40179.16000,0,40179.16000,0,40179.16000,0,40179.16000,0
40179.17000,0,40179.17000,0,40179.17000,0,40179.17000,0
40179.18000,0,40179.18000,0,40179.18000,0,40179.18000,0
40179.19000,0,40179.19000,0,40179.19000,0,40179.19000,0
40179.20000,0,40179.20000,0,40179.20000,0,40179.20000,0
40179.21000,0,40179.21000,0,40179.21000,0,40179.21000,0
40179.22000,0,40179.22000,0,40179.22000,0,40179.22000,0
40179.23000,0,40179.23000,0,40179.23000,0,40179.23000,0
40179.24000,0,40179.24000,0,40179.24000,0,40179.24000,0
40179.25000,0,40179.25000,0,40179.25000,0,40179.25000,0
40179.26000,0,40179.26000,0,40179.26000,0,40179.26000,0
40179.27000,0,40179.27000,0,40179.27000,0,40179.27000,0
